time,action,target_price,target_volume,trade_price,trade_volume,status,flag
2018-09-01 00:00:00,buy,2.2,2.29,-1.0,0.0,未成交,0
2018-09-01 01:00:00,buy,2.2,2.09,-1.0,0.0,未成交,0
2018-09-01 02:00:00,buy,2.2,1.92,-1.0,0.0,未成交,0
2018-09-01 03:00:00,buy,2.2,1.97,-1.0,0.0,未成交,0
2018-09-01 04:00:00,buy,2.2,1.77,-1.0,0.0,未成交,0
2018-09-01 05:00:00,buy,2.2,1.86,2.5,0.0,未成交,0
2018-09-01 06:00:00,buy,2.2,1.86,2.5,0.0,未成交,0
2018-09-01 07:00:00,buy,2.2,1.87,2.5,0.0,未成交,0
2018-09-01 08:00:00,buy,2.2,1.88,2.5,0.0,未成交,0
2018-09-01 09:00:00,buy,2.2,1.8,2.5,0.0,未成交,0
2018-09-01 10:00:00,buy,2.2,1.53,2.4,0.0,未成交,0
2018-09-01 11:00:00,buy,2.2,1.39,2.3,0.0,未成交,0
2018-09-01 12:00:00,buy,2.2,1.23,2.4,0.0,未成交,0
2018-09-01 13:00:00,buy,2.2,1.42,2.5,0.0,未成交,0
2018-09-01 14:00:00,buy,2.2,1.01,2.5,0.0,未成交,0
2018-09-01 15:00:00,buy,2.2,1.05,2.5,0.0,未成交,0
2018-09-01 16:00:00,buy,2.2,1.94,2.5,0.0,未成交,0
2018-09-01 17:00:00,buy,2.2,3.19,2.5,0.0,未成交,0
2018-09-01 18:00:00,buy,2.2,4.01,2.5,0.0,未成交,0
2018-09-01 19:00:00,buy,2.2,4.07,-1.0,0.0,未成交,0
2018-09-01 20:00:00,buy,2.2,3.86,-1.0,0.0,未成交,0
2018-09-01 21:00:00,buy,2.2,3.57,-1.0,0.0,未成交,0
2018-09-01 22:00:00,buy,2.2,3.36,2.1,0.0,未成交,0
2018-09-01 23:00:00,buy,2.2,2.88,-1.0,0.0,未成交,0
2018-09-02 00:00:00,buy,2.21,3.52,-1.0,0.0,未成交,0
2018-09-02 01:00:00,buy,2.21,2.95,-1.0,0.0,未成交,0
2018-09-02 02:00:00,buy,2.21,2.56,-1.0,0.0,未成交,0
2018-09-02 03:00:00,buy,2.21,2.43,-1.0,0.0,未成交,0
2018-09-02 04:00:00,buy,2.21,2.12,-1.0,0.0,未成交,0
2018-09-02 05:00:00,buy,2.21,2.21,2.5,0.0,未成交,0
2018-09-02 06:00:00,buy,2.21,2.14,2.5,0.0,未成交,0
2018-09-02 07:00:00,buy,2.21,2.15,2.5,0.0,未成交,0
2018-09-02 08:00:00,buy,2.21,2.2,2.5,0.0,未成交,0
2018-09-02 09:00:00,buy,2.21,2.08,2.5,0.0,未成交,0
2018-09-02 10:00:00,buy,2.21,1.92,2.5,0.0,未成交,0
2018-09-02 11:00:00,buy,2.21,1.78,2.5,0.0,未成交,0
2018-09-02 12:00:00,buy,2.21,1.74,2.5,0.0,未成交,0
2018-09-02 13:00:00,buy,2.21,1.71,2.3,0.0,未成交,0
2018-09-02 14:00:00,buy,2.21,1.41,2.5,0.0,未成交,0
2018-09-02 15:00:00,buy,2.21,1.49,2.5,0.0,未成交,0
2018-09-02 16:00:00,buy,2.21,2.21,2.5,0.0,未成交,0
2018-09-02 17:00:00,buy,2.21,3.47,2.5,0.0,未成交,0
2018-09-02 18:00:00,buy,2.21,4.43,2.5,0.0,未成交,0
2018-09-02 19:00:00,buy,2.21,4.53,-1.0,0.0,未成交,0
2018-09-02 20:00:00,buy,2.21,4.47,-1.0,0.0,未成交,0
2018-09-02 21:00:00,buy,2.21,4.17,-1.0,0.0,未成交,0
2018-09-02 22:00:00,buy,2.21,3.99,2.1,3.99,完全成交,0
2018-09-02 23:00:00,buy,2.21,3.45,-1.0,0.0,未成交,0
2018-09-03 00:00:00,buy,2.22,2.71,-1.0,0.0,未成交,0
2018-09-03 01:00:00,buy,2.22,2.47,-1.0,0.0,未成交,0
2018-09-03 02:00:00,buy,2.22,2.38,-1.0,0.0,未成交,0
2018-09-03 03:00:00,buy,2.22,2.19,-1.0,0.0,未成交,0
2018-09-03 04:00:00,buy,2.22,2.1,-1.0,0.0,未成交,0
2018-09-03 05:00:00,buy,2.22,2.18,2.5,0.0,未成交,0
2018-09-03 06:00:00,buy,2.22,2.14,2.5,0.0,未成交,0
2018-09-03 07:00:00,buy,2.22,2.27,2.5,0.0,未成交,0
2018-09-03 08:00:00,buy,2.22,2.33,2.5,0.0,未成交,0
2018-09-03 09:00:00,buy,2.22,2.32,2.5,0.0,未成交,0
2018-09-03 10:00:00,buy,2.22,2.25,2.5,0.0,未成交,0
2018-09-03 11:00:00,buy,2.22,2.1,2.3,0.0,未成交,0
2018-09-03 12:00:00,buy,2.22,2.38,2.4,0.0,未成交,0
2018-09-03 13:00:00,buy,2.22,2.35,2.4,0.0,未成交,0
2018-09-03 14:00:00,buy,2.22,2.0,2.5,0.0,未成交,0
2018-09-03 15:00:00,buy,2.22,2.27,2.5,0.0,未成交,0
2018-09-03 16:00:00,buy,2.22,3.13,2.5,0.0,未成交,0
2018-09-03 17:00:00,buy,2.22,3.86,2.5,0.0,未成交,0
2018-09-03 18:00:00,buy,2.22,4.29,2.5,0.0,未成交,0
2018-09-03 19:00:00,buy,2.22,4.36,-1.0,0.0,未成交,0
2018-09-03 20:00:00,buy,2.22,4.19,-1.0,0.0,未成交,0
2018-09-03 21:00:00,buy,2.22,3.71,-1.0,0.0,未成交,0
2018-09-03 22:00:00,buy,2.22,3.51,2.1,3.51,完全成交,0
2018-09-03 23:00:00,buy,2.22,3.01,-1.0,0.0,未成交,0
2018-09-04 00:00:00,buy,2.23,2.06,-1.0,0.0,未成交,0
2018-09-04 01:00:00,buy,2.23,1.91,-1.0,0.0,未成交,0
2018-09-04 02:00:00,buy,2.23,1.78,-1.0,0.0,未成交,0
2018-09-04 03:00:00,buy,2.23,1.73,-1.0,0.0,未成交,0
2018-09-04 04:00:00,buy,2.23,1.69,-1.0,0.0,未成交,0
2018-09-04 05:00:00,buy,2.23,1.8,2.5,0.0,未成交,0
2018-09-04 06:00:00,buy,2.23,1.84,2.5,0.0,未成交,0
2018-09-04 07:00:00,buy,2.23,1.87,2.5,0.0,未成交,0
2018-09-04 08:00:00,buy,2.23,1.9,2.5,0.0,未成交,0
2018-09-04 09:00:00,buy,2.23,1.84,2.5,0.0,未成交,0
2018-09-04 10:00:00,buy,2.23,1.7,2.5,0.0,未成交,0
2018-09-04 11:00:00,buy,2.23,1.5,2.3,0.0,未成交,0
2018-09-04 12:00:00,buy,2.23,1.76,2.5,0.0,未成交,0
2018-09-04 13:00:00,buy,2.23,1.87,2.4,0.0,未成交,0
2018-09-04 14:00:00,buy,2.23,1.85,2.5,0.0,未成交,0
2018-09-04 15:00:00,buy,2.23,1.9,2.5,0.0,未成交,0
2018-09-04 16:00:00,buy,2.23,2.18,2.5,0.0,未成交,0
2018-09-04 17:00:00,buy,2.23,3.1,2.5,0.0,未成交,0
2018-09-04 18:00:00,buy,2.23,3.68,2.5,0.0,未成交,0
2018-09-04 19:00:00,buy,2.23,3.81,-1.0,0.0,未成交,0
2018-09-04 20:00:00,buy,2.23,3.57,-1.0,0.0,未成交,0
2018-09-04 21:00:00,buy,2.23,3.25,-1.0,0.0,未成交,0
2018-09-04 22:00:00,buy,2.23,3.1,2.1,3.1,完全成交,0
2018-09-04 23:00:00,buy,2.23,2.63,-1.0,0.0,未成交,0
2018-09-05 00:00:00,buy,2.24,2.4,-1.0,0.0,未成交,0
2018-09-05 01:00:00,buy,2.24,2.18,-1.0,0.0,未成交,0
2018-09-05 02:00:00,buy,2.24,1.88,-1.0,0.0,未成交,0
2018-09-05 03:00:00,buy,2.24,1.82,-1.0,0.0,未成交,0
2018-09-05 04:00:00,buy,2.24,1.66,-1.0,0.0,未成交,0
2018-09-05 05:00:00,buy,2.24,1.75,2.5,0.0,未成交,0
2018-09-05 06:00:00,buy,2.24,1.78,2.5,0.0,未成交,0
2018-09-05 07:00:00,buy,2.24,1.8,2.5,0.0,未成交,0
2018-09-05 08:00:00,buy,2.24,1.77,2.5,0.0,未成交,0
2018-09-05 09:00:00,buy,2.24,1.83,2.5,0.0,未成交,0
2018-09-05 10:00:00,buy,2.24,1.69,2.41,0.0,未成交,0
2018-09-05 11:00:00,buy,2.24,1.64,2.4,0.0,未成交,0
2018-09-05 12:00:00,buy,2.24,1.55,2.48,0.0,未成交,0
2018-09-05 13:00:00,buy,2.24,1.53,2.4,0.0,未成交,0
2018-09-05 14:00:00,buy,2.24,1.48,2.3,0.0,未成交,0
2018-09-05 15:00:00,buy,2.24,1.56,2.5,0.0,未成交,0
2018-09-05 16:00:00,buy,2.24,1.94,2.5,0.0,未成交,0
2018-09-05 17:00:00,buy,2.24,3.03,2.5,0.0,未成交,0
2018-09-05 18:00:00,buy,2.24,3.48,2.5,0.0,未成交,0
2018-09-05 19:00:00,buy,2.24,3.61,-1.0,0.0,未成交,0
2018-09-05 20:00:00,buy,2.24,3.59,-1.0,0.0,未成交,0
2018-09-05 21:00:00,buy,2.24,3.17,-1.0,0.0,未成交,0
2018-09-05 22:00:00,buy,2.24,3.21,2.1,3.21,完全成交,0
2018-09-05 23:00:00,buy,2.24,2.62,-1.0,0.0,未成交,0
2018-09-06 00:00:00,buy,2.25,2.13,-1.0,0.0,未成交,0
2018-09-06 01:00:00,buy,2.25,1.99,-1.0,0.0,未成交,0
2018-09-06 02:00:00,buy,2.25,1.85,-1.0,0.0,未成交,0
2018-09-06 03:00:00,buy,2.25,1.76,-1.0,0.0,未成交,0
2018-09-06 04:00:00,buy,2.25,1.71,-1.0,0.0,未成交,0
2018-09-06 05:00:00,buy,2.25,1.75,2.5,0.0,未成交,0
2018-09-06 06:00:00,buy,2.25,1.83,2.5,0.0,未成交,0
2018-09-06 07:00:00,buy,2.25,1.88,2.5,0.0,未成交,0
2018-09-06 08:00:00,buy,2.25,1.84,2.5,0.0,未成交,0
2018-09-06 09:00:00,buy,2.25,1.8,2.5,0.0,未成交,0
2018-09-06 10:00:00,buy,2.25,1.7,2.35,0.0,未成交,0
2018-09-06 11:00:00,buy,2.25,1.52,2.5,0.0,未成交,0
2018-09-06 12:00:00,buy,2.25,1.57,2.4,0.0,未成交,0
2018-09-06 13:00:00,buy,2.25,1.38,2.4,0.0,未成交,0
2018-09-06 14:00:00,buy,2.25,1.54,2.5,0.0,未成交,0
2018-09-06 15:00:00,buy,2.25,1.53,2.5,0.0,未成交,0
2018-09-06 16:00:00,buy,2.25,2.06,2.5,0.0,未成交,0
2018-09-06 17:00:00,buy,2.25,3.25,2.5,0.0,未成交,0
2018-09-06 18:00:00,buy,2.25,3.79,2.5,0.0,未成交,0
2018-09-06 19:00:00,buy,2.25,4.04,-1.0,0.0,未成交,0
2018-09-06 20:00:00,buy,2.25,3.91,-1.0,0.0,未成交,0
2018-09-06 21:00:00,buy,2.25,3.46,-1.0,0.0,未成交,0
2018-09-06 22:00:00,buy,2.25,3.37,2.1,3.37,完全成交,0
2018-09-06 23:00:00,buy,2.25,2.81,-1.0,0.0,未成交,0
2018-09-07 00:00:00,buy,2.1,2.61,-1.0,0.0,未成交,0
2018-09-07 01:00:00,buy,2.1,2.36,-1.0,0.0,未成交,0
2018-09-07 02:00:00,buy,2.1,2.01,-1.0,0.0,未成交,0
2018-09-07 03:00:00,buy,2.1,1.93,-1.0,0.0,未成交,0
2018-09-07 04:00:00,buy,2.1,1.78,-1.0,0.0,未成交,0
2018-09-07 05:00:00,buy,2.1,1.88,2.5,0.0,未成交,0
2018-09-07 06:00:00,buy,2.1,1.88,2.5,0.0,未成交,0
2018-09-07 07:00:00,buy,2.1,1.88,2.5,0.0,未成交,0
2018-09-07 08:00:00,buy,2.1,1.85,2.5,0.0,未成交,0
2018-09-07 09:00:00,buy,2.1,1.86,2.5,0.0,未成交,0
2018-09-07 10:00:00,buy,2.1,1.68,2.5,0.0,未成交,0
2018-09-07 11:00:00,buy,2.1,1.69,2.5,0.0,未成交,0
2018-09-07 12:00:00,buy,2.1,1.73,2.47,0.0,未成交,0
2018-09-07 13:00:00,buy,2.1,1.59,2.41,0.0,未成交,0
2018-09-07 14:00:00,buy,2.1,1.83,2.5,0.0,未成交,0
2018-09-07 15:00:00,buy,2.1,1.88,2.5,0.0,未成交,0
2018-09-07 16:00:00,buy,2.1,1.99,2.5,0.0,未成交,0
2018-09-07 17:00:00,buy,2.1,3.03,2.5,0.0,未成交,0
2018-09-07 18:00:00,buy,2.1,3.81,2.5,0.0,未成交,0
2018-09-07 19:00:00,buy,2.1,3.96,-1.0,0.0,未成交,0
2018-09-07 20:00:00,buy,2.1,3.81,-1.0,0.0,未成交,0
2018-09-07 21:00:00,buy,2.1,3.46,-1.0,0.0,未成交,0
2018-09-07 22:00:00,buy,2.1,3.25,2.1,0.0,未成交,0
2018-09-07 23:00:00,buy,2.1,2.81,-1.0,0.0,未成交,0
2018-09-08 00:00:00,buy,2.1,2.44,-1.0,0.0,未成交,0
2018-09-08 01:00:00,buy,2.1,2.2,-1.0,0.0,未成交,0
2018-09-08 02:00:00,buy,2.1,1.93,-1.0,0.0,未成交,0
2018-09-08 03:00:00,buy,2.1,1.71,-1.0,0.0,未成交,0
2018-09-08 04:00:00,buy,2.1,1.72,-1.0,0.0,未成交,0
2018-09-08 05:00:00,buy,2.1,1.77,2.5,0.0,未成交,0
2018-09-08 06:00:00,buy,2.1,1.74,2.5,0.0,未成交,0
2018-09-08 07:00:00,buy,2.1,1.82,2.5,0.0,未成交,0
2018-09-08 08:00:00,buy,2.1,1.8,2.5,0.0,未成交,0
2018-09-08 09:00:00,buy,2.1,1.81,2.5,0.0,未成交,0
2018-09-08 10:00:00,buy,2.1,1.58,2.5,0.0,未成交,0
2018-09-08 11:00:00,buy,2.1,1.3,2.5,0.0,未成交,0
2018-09-08 12:00:00,buy,2.1,1.43,2.5,0.0,未成交,0
2018-09-08 13:00:00,buy,2.1,1.26,2.5,0.0,未成交,0
